Burgundy Hospitality pvt ltd,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149
1108,COLD BREW  REGULAR,COL BRE REG,CBRERE,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,RECIPE,MFR,,,34.77,290,290,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,34.77,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1109,COLD BREW CINNAMON MILK,COL BRE CIN MIL,CBRCIN,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,Recipe,MFR,,,1,231,231,0,0,3,0,YES,NO,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,MRP,0,MRP,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,,No,,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,,MIGRATION,,,,,
1110,COLD BREW CINNAMON STILL,COL BRE CIN STI,CBECIN,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,RECIPE,MFR,,,31.27,290,290,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,31.27,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1111,COLD BREW CINNAMON SWEETENED,COL BRE CIN SWE,CBRECN,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,Recipe,MFR,,,1,231,231,0,0,3,0,YES,NO,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,MRP,0,MRP,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,,No,,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,,MIGRATION,,,,,
1112,COLD BREW MILK,COL BRE MIL,CBREMI,CAFE - BEVERAGES,Iced Coffee,SMALL,,,,ITEM,,CORE,,MFR,,,1,231,231,0,0,3,0,YES,NO,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,MRP,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,,No,,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,.,,,,
1113,COLD BREW STILL,COL BRE STI,CBREST,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,Recipe,MFR,,,1,231,231,0,0,3,0,YES,NO,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,MRP,0,MRP,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,,No,,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,,MIGRATION,,,,,
1114,COLD BREW SWEETENED,COL BRE SWE,CBRSWE,CAFE - BEVERAGES,Iced Coffee,,,,,ITEM,,,Recipe,MFR,,,1,205,205,0,0,3,0,YES,NO,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,MRP,0,MRP,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,,No,,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,,MIGRATION,,,,,
1115,CORTADO,COR,CORT,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,RECIPE,MFR,,,41.77,210,210,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,41.77,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1116,ESPRESSO,ESP,ESPRE,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,RECIPE,MFR,,,31.27,250,250,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,INACTIVE,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,31.27,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1117,ESPRESSO DOUBLE,ESP DOU,EDOU,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,RECIPE,MFR,,,1,250,250,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
1118,ESPRESSO EXTRA SHOT,ESP EXT SHO,EXTSHO,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,Recipe,MFR,,,1,70,70,0,0,3,0,YES,NO,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,MRP,0,MRP,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,,No,,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,0,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,,Yes,No,1,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,1,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,,MIGRATION,,,,,
1119,FLAT WHITE,FLA WHI,FWHI,CAFE - BEVERAGES,Coffee,,,,,ITEM,,,RECIPE,MFR,,,41.77,300,300,0,0,3,0,,YES,0,BURGUNDY HOSPITALITY PRIVATE LIMITED,REGULAR,0,NO,5003,GST 5%,996331,PURCHASE RATE,0,SELLING RATE,0,27AAFCB1863N1ZC,N0,365,YES,Not Applicable,Yes,No,No,No,Put Away,MRP,Yes,0,0,0,0,0,No,,No,0,1,,1,,Unit,Profile 1,Profile 1,NO,GST,0,0,Not Required,1,,,No,No,No,1,,No,No,0,No,0,No Scheme,,Both,No,Yes,Not Required,Yes,Yes,0,0,0,Not Required,Manual,0,Null,No,,0,0,0,Goods,Yes,No,0,1,Yes,Yes,Yes,0,0,Yes,Yes,Itemmaster,No,Yes,Default,41.77,0,0,0,0,0,0,Manual,1,1,0,0,0,Assembly,0,0,0,0,0,0,0,,2023-04-13 08:09:01,Not Applicable,MIGRATION,,,,,
